lemma	rank
privatus	882
servio	883
vereor	884
ingredior	885
adduco	886
hortor	887
reus	888
scilicet	889
comparo	890
perpetuus	891
desidero	892
celebro	893
conficio	894
intendo	895
iuro	896
solum	897
auctoritas	898
iacio	899
laboro	900
luna	902
protinus	903
aeque	904
conor	905
cupido	906
fere	907
insula	908
filia	909
narro	910
necessitas	911
egredior	912
poeta	913
decem	914
amplus	915
aptus	916
consequor	917
frequens	918
nuntius	919
condicio	920
convivium	921
foedus	922
fruor	923
num	924
albus	925
damnum	926
fructus	927
censeo	928
prodo	929
propono	930
instituo	931
item	932
magister	933
stella	934
educo	935
frumentum	936
suscipio	937
quasi	938
sacerdos	939
vicinus	940
caveo	941
eligo	942
familia	943
paene	944
praecipio	945
sanus	946
potis	947
principium	948
sepulcrum	949
mortalis	950
epistula	951
inimicus	952
interrogo	953
consuetudo	954
illuc	955
dignitas	956
fugo	957
afficio	958
adhibeo	959
caelestis	960
mulier	961
divus	962
arbitror	963
postea	964
aedes	965
fabula	966
celeriter	967
quiesco	969
quotiens	970
scientia	971
confiteor	972
diligo	973
plerumque	974
dormio	975
volucris	976
volucer	977
creo	978
fidelis	979
indico	980
hodie	981
disciplina	982
vere	983
aegre	984
fore	985
adverto	986
advenio	987
pendo	988
studeo	989
ascendo	990
vulgo	991
breviter	992
fors	993
feliciter	994
reverto	995
edico	996
