# Supplemental grc inflections from MorphGNT/SBLGNT (CC BY-SA 3.0 analysis).
# inflected_form<TAB>lemma<TAB>type — merged by build-dictionary.ts --lang grc.
# Regenerate: python scripts/gen-morphgnt-inflections-grc.py
βάλλουσιν	βάλλω	morphgnt,verb
βάλω	βάλλω	morphgnt,verb
βάλωσιν	βάλλω	morphgnt,verb
βάλῃ	βάλλω	morphgnt,verb
βάπτισαι	βαπτίζω	morphgnt,verb
βάρβαροι	βάρβαρος	morphgnt,adjective
βάρει	βάρος	morphgnt,noun
βάρη	βάρος	morphgnt,noun
βάσεις	βάσις	morphgnt,noun
βάτου	βάτος	morphgnt,noun
βάτους	βάτος	morphgnt,noun
βάτραχοι	βάτραχος	morphgnt,noun
βάτῳ	βάτος	morphgnt,noun
βάψας	βάπτω	morphgnt,verb
βάψω	βάπτω	morphgnt,verb
βάψῃ	βάπτω	morphgnt,verb
βέβληται	βάλλω	morphgnt,verb
βέλη	βέλος	morphgnt,noun
βέροιαν	βέροια	morphgnt,noun
βήματι	βῆμα	morphgnt,noun
βήματος	βῆμα	morphgnt,noun
βίαν	βία	morphgnt,noun
βίας	βία	morphgnt,noun
βίβλου	βίβλος	morphgnt,noun
βίβλους	βίβλος	morphgnt,noun
βίβλῳ	βίβλος	morphgnt,noun
βίον	βίος	morphgnt,noun
βίου	βίος	morphgnt,noun
βίωσίν	βίωσις	morphgnt,noun
βαΐα	βάϊον	morphgnt,noun
βαβυλὼν	βαβυλών	morphgnt,noun
βαβυλῶνι	βαβυλών	morphgnt,noun
βαβυλῶνος	βαβυλών	morphgnt,noun
βαθέα	βαθύς	morphgnt,adjective
βαθέως	βαθύς	morphgnt,adjective
βαθεῖ	βαθύς	morphgnt,adjective
βαθμὸν	βαθμός	morphgnt,noun
βαθύ	βαθύς	morphgnt,adjective
βαλαὰμ	βαλαάμ	morphgnt,noun
βαλεῖ	βάλλω	morphgnt,verb
βαλεῖν	βάλλω	morphgnt,verb
βαλλάντια	βαλλάντιον	morphgnt,noun
βαλλαντίου	βαλλάντιον	morphgnt,noun
βαλλόμενα	βάλλω	morphgnt,verb
βαλλόμενον	βάλλω	morphgnt,verb
βαλλόντων	βάλλω	morphgnt,verb
βαλοῦσα	βάλλω	morphgnt,verb
βαλοῦσιν	βάλλω	morphgnt,verb
βαλὰκ	βαλάκ	morphgnt,noun
βαπτίζει	βαπτίζω	morphgnt,verb
βαπτίζειν	βαπτίζω	morphgnt,verb
βαπτίζεις	βαπτίζω	morphgnt,verb
βαπτίζομαι	βαπτίζω	morphgnt,verb
βαπτίζονται	βαπτίζω	morphgnt,verb
βαπτίζοντες	βαπτίζω	morphgnt,verb
βαπτίζοντος	βαπτίζω	morphgnt,verb
βαπτίζων	βαπτίζω	morphgnt,verb
βαπτίσει	βαπτίζω	morphgnt,verb
βαπτίσματος	βάπτισμα	morphgnt,noun
βαπτίσωνται	βαπτίζω	morphgnt,verb
βαπτιζόμενοι	βαπτίζω	morphgnt,verb
βαπτισθέντες	βαπτίζω	morphgnt,verb
βαπτισθέντος	βαπτίζω	morphgnt,verb
βαπτισθήσεσθε	βαπτίζω	morphgnt,verb
βαπτισθήτω	βαπτίζω	morphgnt,verb
βαπτισθεὶς	βαπτίζω	morphgnt,verb
βαπτισθῆναι	βαπτίζω	morphgnt,verb
βαπτισμοὺς	βαπτισμός	morphgnt,noun
βαπτισμοῖς	βαπτισμός	morphgnt,noun
βαπτισμῶν	βαπτισμός	morphgnt,noun
βαπτισμῷ	βαπτισμός	morphgnt,noun
βαπτιστήν	βαπτιστής	morphgnt,noun
