# Supplemental hbo inflections from OSHB (CC BY 4.0 analysis).
# inflected_form<TAB>lemma<TAB>type — merged by build-dictionary.ts --lang hbo.
# Regenerate: python scripts/gen-dictionary-roots-hbo.py
אורים	אור	oshb,noun
אוריש	ירש	oshb,verb
אורישם	ירש	oshb,verb
אורך	אור	oshb,noun
אורם	אור	oshb,noun
אורש	ירש	oshb,verb
אורת	אורה	oshb,noun
אושיבך	ישב	oshb,verb
אושיע	ישע	oshb,verb
אושיעך	ישע	oshb,verb
אושיעם	ישע	oshb,verb
אושע	ישע	oshb,verb
אושר	ישר	oshb,verb
אות	אוה	oshb,noun
אותה	אוה	oshb,verb
אותה	את	oshb,form
אותהם	את	oshb,form
אותהן	את	oshb,form
אותו	את	oshb,form
אותי	את	oshb,form
אותיה	אוה	oshb,verb
אותיר	יתר	oshb,verb
אותך	את	oshb,form
אותכם	את	oshb,form
אותם	את	oshb,form
אותנה	את	oshb,form
אותנו	את	oshb,form
אותת	אות	oshb,noun
אותתינו	אות	oshb,noun
אותתם	אות	oshb,noun
אזבח	זבח	oshb,verb
אזבחה	זבח	oshb,verb
אזדא	אזד	oshb,adj
אזה	אזא	oshb,adj
אזור	אזר	oshb,verb
אזין	אזן	oshb,verb
אזכור	זכר	oshb,verb
אזכיר	זכר	oshb,verb
אזכירה	זכר	oshb,verb
אזכר	זכר	oshb,verb
אזכרה	זכר	oshb,verb
אזכרך	זכר	oshb,verb
אזכרכי	זכר	oshb,verb
אזכרנו	זכר	oshb,verb
אזכרתה	אזכרה	oshb,noun
אזלו	אזל	oshb,adj
אזלנא	אזל	oshb,adj
אזלת	אזל	oshb,verb
אזמר	זמר	oshb,verb
אזמרה	זמר	oshb,verb
אזמרך	זמר	oshb,verb
אזנו	אזן	oshb,noun
אזני	אזן	oshb,noun
אזניהם	אזן	oshb,noun
אזניו	אזן	oshb,noun
אזניך	אזן	oshb,noun
אזנים	אזן	oshb,noun
אזנך	אזן	oshb,noun
אזנכם	אזן	oshb,noun
אזנם	אזן	oshb,noun
אזעם	זעם	oshb,verb
אזעק	זעק	oshb,verb
אזרה	זרה	oshb,verb
אזרו	אזר	oshb,verb
אזרעה	זרע	oshb,verb
אחבירה	חבר	oshb,verb
אחבל	חבל	oshb,verb
אחבש	חבש	oshb,verb
אחבשה	חבש	oshb,verb
אחדים	אחד	oshb,adj
אחדל	חדל	oshb,verb
אחוא	חוא	oshb,adj
אחודה	חוד	oshb,verb
אחוה	חוה	oshb,verb
אחוז	אחז	oshb,verb
אחוזים	אחז	oshb,verb
אחוך	חוה	oshb,verb
אחולה	חול	oshb,verb
